"","hz","v"
"1",0.106659271623834,102823.904
"2",0.110015781763894,108324.7253
"3",0.115161699982467,108581.9945
"4",0.118969014520168,108772.3445
"5",0.1218668044574,108917.1209
"6",0.12853090461336,109250.3433
"7",0.156029705559463,105291.657
"8",0.182845942237138,106632.1681
"9",0.199008935501204,107440.4508
"10",0.209507447989776,107965.0568
"11",0.216691766796321,108324.7253
"12",0.221845085576742,108581.9945
"13",0.225660027372561,108772.3445
"14",0.22855941287658,108917.1209
"15",0.230813085255429,109029.7913
"16",0.232601684734003,109119.1917
"17",0.234044594857104,109191.3154
"18",0.23522521049716,109250.3433
"19",0.236203919567841,109299.2642
"20",0.237024395735931,109340.2604
"21",0.237718284815031,109374.9555
"22",0.238310852676231,109404.5776
"23",0.238820798425693,109430.0696
"24",0.239263069745185,109452.165
"25",0.239648962200169,109471.4416
"26",0.239987136689473,109488.3592
"27",0.24028584404007,109503.2875
"28",0.240550572149536,109516.5267
"29",0.240786891561623,109528.3223
"30",0.240997827404586,109538.8768
"31",0.241187607780712,109548.3584
"32",0.241358753237224,109556.9077
"33",0.241512933621378,109564.6431
"34",0.241653295184333,109571.6647
"35",0.241781250831123,109578.0577
"36",0.241898223741343,109583.8949
"37",0.242005353158412,109589.239
"38",0.242104664267409,109594.1439
"39",0.24219261821119,109598.6566
"40",0.242277701123805,109602.8177
"41",0.24235697000469,109606.6628
"42",0.242424536272165,109610.2232
"43",0.304745570399331,97492.355566
"44",0.304748437783321,97492.304
"45",0.304749295269312,97492.2112
"46",0.304751464174105,97492.319611
"47",0.304752166670537,97492.319433
"48",0.411408353646621,102823.904
"49",0.411412774636919,102823.8485825
"50",0.411412863436905,102823.8530211
"51",0.411413689607743,102823.8943175
"52",0.411413993085725,102823.9094871
"53",0.46077938067565,105291.657
"54",0.487598659493765,106632.1681
"55",0.487601479588207,106632.1498416
"56",0.487601814251472,106632.1665697
"57",0.503768820488278,107440.4508
"58",0.514262557777398,107965.0568
"59",0.514267591527967,107965.0497145
"60",0.51426769458843,107965.054866
"61",0.514267732715933,107965.05677174
"62",0.521458404436359,108324.7253
"63",0.526605561112707,108581.9945
"64",0.526610275685443,108581.9944009
"65",0.530414919723028,108772.3445
"66",0.533311858642492,108917.1209
"67",0.533314863783452,108917.1203787
"68",0.533314875082226,108917.12094342
"69",0.535565714047005,109029.7913
"70",0.537353309263487,109119.1917
"71",0.538796296745293,109191.3154
"72",0.539977358749348,109250.3433
"73",0.540956199587954,109299.2642
"74",0.541777697233493,109340.2604
"75",0.542471298521684,109374.9555
"76",0.5430616676392,109404.5776
"77",0.543571317915839,109430.0696
"78",0.544013996392099,109452.165
"79",0.544393967026057,109471.4416
"80",0.544763191440681,109488.3592
"81",0.545040809930644,109503.2875
"82",0.545296409495792,109516.5267
"83",0.545541832147689,109528.3223
"84",0.545754710545345,109538.8768
"85",0.545939438938039,109548.3584
"86",0.546116836235944,109556.9077
"87",0.546258538703783,109564.6431
"88",0.546400314726581,109571.6647
"89",0.546536190260179,109578.0577
"90",0.54664972052533,109583.8949
"91",0.546740877628457,109589.239
"92",0.546858978740857,109594.1439
"93",0.546948709884731,109598.6566
