"","hz","v"
"1",0.101187485738889,65245.33
"2",0.110232071580298,60187.34
"3",0.112003216732385,64506.45
"4",0.112011057731619,64506.45
"5",0.123779840224982,68241.02
"6",0.123779840224982,68241.02
"7",0.123779840224982,68241.02
"8",0.123779840224982,68241.02
"9",0.123779840224982,68241.02
"10",0.123779840224982,68241.02
"11",0.136567711978695,58907.45
"12",0.136575452474474,58907.83
"13",0.165314121628212,96495.36
"14",0.165352664162125,96497.288
"15",0.171522909028537,127335.12
"16",0.172040642881474,137925.13
"17",0.172040642881474,137925.13
"18",0.172040642881474,137925.13
"19",0.173967654194056,70749.72
"20",0.173967654194056,70749.72
"21",0.173967654194056,70749.72
"22",0.173967654194056,70749.72
"23",0.173967654194056,70749.72
"24",0.173967654194056,70749.72
"25",0.178991258961869,137919.17
"26",0.178991258961869,137919.17
"27",0.180726266574858,67941.66
"28",0.180726266574858,67941.66
"29",0.180726266574858,67941.66
"30",0.180732799207667,67941.66
"31",0.193591539275367,71730.62
"32",0.193591539275367,71730.62
"33",0.193591539275367,71730.62
"34",0.193591539275367,71730.62
"35",0.193591539275367,71730.62
"36",0.193591539275367,71730.62
"37",0.197630020790678,129325.46
"38",0.197630020790678,129325.46
"39",0.197630020790678,129325.46
"40",0.198103554671133,129323.92
"41",0.198107675483779,129323.85
"42",0.201211696838361,72111.55
"43",0.201211696838361,72111.55
"44",0.201211696838361,72111.55
"45",0.201211696838361,72111.55
"46",0.201211696838361,72111.55
"47",0.201211696838361,72111.55
"48",0.202102676243639,69010.2
"49",0.202109415974526,69010.2
"50",0.203100945231799,67034.7
"51",0.21103660229382,129310.25
"52",0.211050030887172,129310.13
"53",0.212930412211985,72697.32
"54",0.212930412211985,72697.32
"55",0.212930412211985,72697.32
"56",0.212930412211985,72697.32
"57",0.212930412211985,72697.32
"58",0.212930412211985,72697.32
"59",0.214043615667565,140024.7
"60",0.214043615667565,140024.7
"61",0.214043615667565,140024.7
"62",0.216358521648185,71002.34
"63",0.217617200463525,72931.6
"64",0.217617200463525,72931.6
"65",0.217617200463525,72931.6
"66",0.217617200463525,72931.6
"67",0.217617200463525,72931.6
"68",0.217617200463525,72931.6
"69",0.225169947017511,73309.15
"70",0.225169947017511,73309.15
"71",0.225169947017511,73309.15
"72",0.225169947017511,73309.15
"73",0.225169947017511,73309.15
"74",0.225169947017511,73309.15
"75",0.227237350548835,68241.18
"76",0.233982193253147,70603.76
"77",0.233982193253147,70603.76
"78",0.233982193253147,70603.76
"79",0.233990214061268,70603.76
"80",0.241339822156685,72251.27
"81",0.242304705436227,54677.26
"82",0.245120778974226,71160.52
"83",0.245128289728892,71160.52
"84",0.247216924569543,67034.7
"85",0.256673511293634,73017.42
"86",0.262505740672416,72029.5
"87",0.262505740672416,72029.5
"88",0.262505740672416,72029.5
"89",0.262512666236146,72029.5
"90",0.264834085417997,70120.49
"91",0.266727124814958,73519.81
"92",0.270218052457431,128971.62
"93",0.270226449764903,128972.05
"94",0.273666321390991,73866.67
"95",0.277425832284433,70749.9
"96",0.279538481966274,72880.9
"97",0.279538481966274,72880.9
"98",0.279538481966274,72880.9
"99",0.279548250027955,72880.9
"100",0.286420147709734,56882.43
"101",0.290510194002708,73429.33
"102",0.290510194002708,73429.33
"103",0.290510194002708,73429.33
"104",0.290519477878394,73429.33
"105",0.294700156588928,66811.88
"106",0.294700156588928,66811.88
"107",0.294700156588928,66811.88
"108",0.295983649863182,133556.44
"109",0.29600161024876,133556.44
"110",0.297353553374963,71746.09
"111",0.301366395236,134485.61
"112",0.301366395236,134485.37
"113",0.301366395236,134485.61
"114",0.304668078600099,72111.62
"115",0.30495405485971,134690.16
"116",0.30495405485971,134690.16
"117",0.30495405485971,134690.16
"118",0.305442092302768,134689.2
"119",0.305442092302768,134689.23
"120",0.305442092302768,134689.2
"121",0.308950019456127,70120.49
"122",0.318485030407358,134681.15
"123",0.318485030407358,134681.15
"124",0.318500398205123,134681.15
"125",0.321073154912981,72931.65
"126",0.325626301487624,997454
"127",0.341471160199487,71746.09
"128",0.359854618734031,70065.4
"129",0.359854618734031,70065.4
"130",0.359854618734031,70065.4
"131",0.367586244922715,137796.12
"132",0.367586244922715,137795.97
"133",0.367586244922715,137796.12
"134",0.369296674483446,137218.78
"135",0.369296674483446,137218.78
"136",0.369671690874617,137925.11
"137",0.369671690874617,137925.11
"138",0.369671690874617,137925.11
"139",0.37016198288371,137924.31
"140",0.37016198288371,137924.31
"141",0.37016198288371,137924.31
"142",0.379448248096925,115464.44
"143",0.379486190877,115464.44
"144",0.380117931588275,89121.08
"145",0.380527639625104,134485.61
"146",0.380527639625104,134485.37
"147",0.38326467146744,137919.17
"148",0.38326467146744,137919.17
"149",0.383280169179867,137919.17
"150",0.393101076114196,71730.62
"151",0.393101076114196,71730.62
"152",0.393101076114196,71730.62
"153",0.411673411249388,140024.58
"154",0.411673411249388,140024.58
"155",0.411673411249388,140024.58
"156",0.412185013365099,140024.12
"157",0.412185013365099,140024.12
"158",0.412185013365099,140024.12
"159",0.412442567372493,72697.32
"160",0.412442567372493,72697.32
"161",0.412442567372493,72697.32
"162",0.414236565117263,118761.32
"163",0.414236565117263,118760.51
"164",0.4159924122984,139555.16
"165",0.4159924122984,139555.16
"166",0.424685255140284,73309.15
"167",0.424685255140284,73309.15
"168",0.424685255140284,73309.15
"169",0.42529935758532,140020.58
"170",0.42529935758532,140020.58
"171",0.42529935758532,140020.58
"172",0.427951846002384,119446.72
"173",0.427960453886298,119446.59
"174",0.428840372748052,1103136
"175",0.428840372748052,1103136
