"","hz","v"
"1",0.0999945402980997,110290.739
"2",0.100092625715837,36940.59
"3",0.100092631226031,99688.355
"4",0.100111972237589,89331.199
"5",0.100149919421879,34362.873
"6",0.100155260685114,56952.213
"7",0.100175533580472,107038.375
"8",0.100202910894561,113374.128
"9",0.100223659117687,88723.398
"10",0.100246978480883,108932.616
"11",0.100253345216028,48221.324
"12",0.100256265039066,110166.534
"13",0.100262487191467,51148.848
"14",0.100263628170731,51148.91
"15",0.10026973058877,108130.542
"16",0.10028039400969,59270.158
"17",0.100284054584611,51739.92
"18",0.100325506104556,58906.436
"19",0.100326562962443,56842.811
"20",0.10033730391457,111939.932
"21",0.100368744731268,110144.841
"22",0.100374245373877,52214.345
"23",0.100384764764867,45509.152
"24",0.100428079711173,89444.455
"25",0.100452241011646,58682.322
"26",0.100464038370029,110144.841
"27",0.100480140836181,108729.162
"28",0.100519161364616,107826.94
"29",0.10052584567242,90487.827
"30",0.100529084572103,57074.915
"31",0.100529084572103,59262.299
"32",0.100541845138915,99057.089
"33",0.10057653992866,110406.879
"34",0.100581318784232,108130.542
"35",0.100583434210136,59265.025
"36",0.100595399017937,56720.409
"37",0.100599231899715,107572.279
"38",0.100606415734513,109794.406
"39",0.100624895696007,109149.611
"40",0.100625887992016,109456.381
"41",0.100700289956415,108631.052
"42",0.100727955900898,57074.915
"43",0.100772080409872,110065.766
"44",0.100772669404022,56113.887
"45",0.100778386559295,107371.685
"46",0.100796835777668,108809.81
"47",0.1008252699584,112987.144
"48",0.100851164668077,88853.535
"49",0.100884459097127,34362.873
"50",0.100966556378036,89471.372
"51",0.100975769248557,108239.375
"52",0.101002750254388,109912.188
"53",0.101008055341909,47960.94
"54",0.101051624041071,44677.006
"55",0.101073183438332,114101.892
"56",0.101073183438332,108217.596
"57",0.101108922215288,56673.145
"58",0.101138715743622,112882.497
"59",0.101156773222345,51192.273
"60",0.101156786524848,107723.2
"61",0.101190341450718,108809.81
"62",0.101198468158787,57004.359
"63",0.101206303229771,114870.874
"64",0.101256365696599,107605.127
"65",0.10127995069692,31686.351
"66",0.101283992363795,57004.359
"67",0.101309290882579,109980.635
"68",0.101319278323044,109571.639
"69",0.10132796324851,107459.78
"70",0.101328975106561,108391.507
"71",0.101344394195642,111833.063
"72",0.101349211376449,50979.579
"73",0.101349226783945,114877.996
"74",0.101419245711601,59204.233
"75",0.101419260111812,107736.321
"76",0.101449428271602,110064.966
"77",0.101465980486063,58682.322
"78",0.101477203653585,58946.732
"79",0.101484618483799,59952.533
"80",0.101497163342054,108191.894
"81",0.101508812781957,108239.375
"82",0.101530521851653,58906.116
"83",0.101554283227076,54004.718
"84",0.101598634189241,53610.412
"85",0.101673257127194,31307.245
"86",0.101673269532137,118891.802
"87",0.101675932529966,112607.597
"88",0.101703725554937,57029.614
"89",0.101703728140849,107750.54
"90",0.101718133711284,107886.868
"91",0.101726703987143,109149.611
"92",0.101726709161304,57152.415
"93",0.101741535295029,58147.007
"94",0.101769641769843,114770.394
"95",0.101814797864536,59390.684
"96",0.101835980525702,56720.409
"97",0.101857327626335,45061.329
"98",0.101868860650275,118893.735
"99",0.101872690004919,51837.238
"100",0.101876052602477,110506.577
"101",0.101965637478204,56726.892
"102",0.101972359576158,56113.887
"103",0.101980600944147,31322.613
"104",0.101980616544213,113872.758
"105",0.101980616544213,109271.932
"106",0.101980616544213,108868.956
"107",0.102010769991063,50433.025
"108",0.102024039618383,113230.351
"109",0.102033304384784,112987.144
"110",0.102043575668118,56871.345
"111",0.102044408706225,112927.781
"112",0.102045403163275,90780.623
"113",0.102054499960505,56720.409
"114",0.102078647923394,45333.875
"115",0.102087324915835,110166.534
"116",0.102120558936455,45509.152
"117",0.102131004256207,56735.158
"118",0.102142020307876,58674.459
"119",0.102157852219013,108372.239
"120",0.102184176555455,56726.892
"121",0.102231248105527,59271.318
"122",0.102231248105527,51837.238
"123",0.102244533342658,57055.616
"124",0.102259617996415,108729.162
"125",0.102310739200206,47929.997
"126",0.102310739200206,54042.527
"127",0.102316653672452,59500.628
"128",0.102322882926762,108217.596
"129",0.102345011286326,90300.628
"130",0.102348923138364,59671.467
"131",0.102351500127556,59671.6
"132",0.102389373785054,56479.463
"133",0.102504923055192,53084.789
"134",0.102515126619508,56952.213
"135",0.102523971001505,56952.213
"136",0.102533999633441,103420.207
"137",0.102538094696596,50186.834
"138",0.102540754823004,55134.168
"139",0.102540761131769,107459.78
"140",0.102570377767214,88853.535
"141",0.102579184334435,54479.902
"142",0.102585649233003,108130.542
"143",0.102602682224954,108729.162
"144",0.102612251389755,53661.079
"145",0.10261491536527,51539.72
"146",0.102614925368601,89119.452
"147",0.10264648294657,56207.552
"148",0.102680009865495,57152.267
"149",0.102682930410649,57152.415
"150",0.102686152692214,50212.836
"151",0.102686152692214,107163.871
"152",0.102693153627161,29469.024
"153",0.102720021020625,57154.269
"154",0.102723877175505,107165.76
"155",0.102738425964096,36940.59
"156",0.1027522603956,110660.69
"157",0.102754071129142,57077.843
"158",0.102755834412056,57156.059
"159",0.102758568676102,108239.375
"160",0.102817983893563,57084.281
"161",0.102818015608186,84424.422
"162",0.102827118513704,88853.535
"163",0.102901667526667,113230.351
"164",0.102901672821044,59276.239
"165",0.102926130713664,107947.255
"166",0.102931659908834,114770.394
"167",0.102971738634044,112876.116
"168",0.102984437506726,112607.597
"169",0.102996455273995,110064.966
"170",0.103033889546331,58719.04
"171",0.10304407658854,56842.811
"172",0.103047372015589,110144.841
"173",0.103077428156321,56502.957
"174",0.103077428156321,56844.475
"175",0.103118914050591,58723.289
"176",0.103124656465988,56516.218
"177",0.103170586891042,51294.22
"178",0.103209777640211,58704.913
"179",0.103232164487323,112987.144
"180",0.103232164487323,107826.94
"181",0.103320824281138,111886.812
"182",0.103330221440384,106863.62
"183",0.103340934920271,52067.469
"184",0.103351032697213,107197.107
"185",0.103404532179284,58714.648
"186",0.103404541802532,78185.004
"187",0.103411712689791,56550.634
"188",0.103428906124512,90898.878
"189",0.103431238240515,58831.23
"190",0.103438540155333,36975.588
"191",0.103473930795983,90901.13
"192",0.10348133083221,110166.534
"193",0.103492413592114,58719.04
"194",0.103529871680936,110413.87
"195",0.103546580664881,90638.823
"196",0.103558331586218,57004.359
"197",0.103567174549734,57004.359
"198",0.103577617519035,58723.289
"199",0.103578543381573,107572.279
"200",0.103578543381573,97507.414
"201",0.103585509338159,89444.455
"202",0.103590090696232,110469.101
"203",0.103592633983605,113370.112
"204",0.103598434648372,84424.422
"205",0.103607327400294,52067.469
"206",0.103614945146144,112397.186
"207",0.103616731656808,99918.563
"208",0.103616731656808,90042.804
"209",0.103618480113461,107723.2
"210",0.103654999674523,31805.071
"211",0.103657847007859,108778.889
"212",0.103697211566945,110247.006
"213",0.103733241628998,107728.935
"214",0.103766040576102,107217.854
"215",0.103793119554105,59679.235
"216",0.103805919470274,58757.628
"217",0.103810976738067,110568.558
"218",0.103813009267045,108191.894
"219",0.103839749928961,45595.086
"220",0.103846171420121,56207.552
"221",0.103849275155945,107525.187
"222",0.103852550564119,53723.079
"223",0.103864766412295,108577.597
"224",0.10388096209914,107736.321
"225",0.10391231853623,106892.717
"226",0.103922231294691,114877.996
"227",0.103942542724387,107529.849
"228",0.10394393970711,59262.299
"229",0.103957187519378,84527.806
"230",0.103984628576265,51334.911
"231",0.103990192061046,52953.629
"232",0.103995675027867,59264.884
"233",0.104005479840722,112927.781
"234",0.104012879290765,59265.744
"235",0.104018364650316,109003.621
"236",0.104019905956539,89331.199
"237",0.104029981024411,112397.186
"238",0.104039705713288,111833.063
"239",0.104050265851031,109794.406
"240",0.104050265851031,110406.879
"241",0.10405664843941,57415.757
"242",0.10406038415972,58812.015
"243",0.104062972250776,53733.594
"244",0.104063632830203,57029.614
"245",0.104063639869209,90386.533
"246",0.104068517046527,112876.116
"247",0.104079770899608,58591.206
"248",0.104097122198623,58592.074
"249",0.104107930273755,90067.357
"250",0.104119324911121,59271.318
"251",0.10412447456187,59271.318
"252",0.104153734244665,54134.655
"253",0.104165424276971,107750.54
"254",0.104171083086543,57421.469
"255",0.104173861173954,109271.932
"256",0.104212710230254,108630.427
"257",0.104217771370701,59276.239
"258",0.10422350104458,57320.347
"259",0.104230779453403,108807.527
"260",0.104290462161149,90397.873
"261",0.104296374418144,51350.492
"262",0.104332065594404,109980.635
"263",0.104335668713385,57160.142
"264",0.104339707550407,110506.577
"265",0.104344704819265,113858.233
"266",0.104379279648321,53749.405
"267",0.104410977477821,90898.878
"268",0.104444958081538,58831.23
"269",0.104456017451592,90901.13
"270",0.104484473607222,47755.537
"271",0.104503172324425,56842.811
"272",0.104531437829927,53155.145
"273",0.104538595388071,58812.015
"274",0.104563949769361,53061.318
"275",0.104590497869596,50522.944
"276",0.104592614642265,57055.616
"277",0.104594337660018,110144.841
"278",0.104637108566964,38995.736
"279",0.104656958352308,112397.186
"280",0.10465697368662,53763.28
"281",0.104659483097907,108463.918
"282",0.104660971714326,110645.805
"283",0.104689404856437,51370.145
"284",0.104731233472102,52613.09
"285",0.104739998141912,34555.597
"286",0.104746904506385,112607.597
"287",0.104762827173654,108239.375
"288",0.104785413618939,112966.779
"289",0.104791359068006,107572.279
"290",0.104805955703239,114242.513
"291",0.104866596580825,50303.225
"292",0.104887759084565,57070.371
"293",0.104902574618644,91843.485
"294",0.104935747317239,58906.436
"295",0.104963914613241,109456.381
"296",0.104998488205517,110469.101
"297",0.105028280387404,110166.534
"298",0.105028281490498,57077.843
"299",0.105028281490498,56789.699
"300",0.105045139472108,112987.144
"301",0.105084298887278,114877.996
"302",0.105086391522471,53784.75
"303",0.105086399804834,109619.704
"304",0.105105059417545,108372.239
"305",0.105155661136513,103701.778
"306",0.10518373255109,110064.966
"307",0.105204266207634,110413.87
"308",0.105206185976447,25899.989
"309",0.105232773316084,56952.213
"310",0.105238670517771,56337.126
"311",0.105276178895811,58591.206
"312",0.10529354893802,58592.074
"313",0.105335179437688,38678.039
"314",0.105356353907375,110645.805
"315",0.105374749754727,107298.265
"316",0.105384011169441,110506.577
"317",0.105387237500151,57213.744
"318",0.105443744180823,53393.673
"319",0.105453586536323,109149.611
"320",0.105472854583257,57213.744
"321",0.105472860145519,112927.781
"322",0.105509628386648,57218.827
"323",0.105556048150447,57343.828
"324",0.105579689136865,110568.558
"325",0.105585148139658,45509.152
"326",0.105616335027942,107674.14
"327",0.105626540992208,31686.351
"328",0.105639117506024,107947.255
"329",0.10566571088509,97507.414
"330",0.10566571088509,45333.875
"331",0.105690766046144,113230.351
"332",0.105693862610007,107826.94
"333",0.105748197046114,110506.577
"334",0.105789421290608,57233.843
"335",0.105809728069158,113236.296
"336",0.105811551320084,57546.481
"337",0.105813611439721,36975.588
"338",0.105817412794944,56751.099
"339",0.105846207830977,110413.87
"340",0.10586261890357,56673.145
"341",0.105870548375033,59671.467
"342",0.105879689755568,57403.134
"343",0.105889970790252,56754.726
"344",0.10589407479235,56754.932
"345",0.105899956628673,50627.436
"346",0.105903315568052,59673.113
"347",0.105904655838728,57064.346
"348",0.105908934837833,57343.828
"349",0.105949599775387,54224.42
"350",0.105949599775387,58906.436
"351",0.105952366888466,113867.242
"352",0.105955409195817,57346.148
"353",0.105998519836669,56592.703
"354",0.106005222347279,59265.477
"355",0.106008594710421,89625.951
"356",0.106019006451363,110064.966
"357",0.106025874554426,59679.235
"358",0.106053535824884,59687.418
"359",0.106055441160622,109923.631
"360",0.106063400670512,38175.355
"361",0.106090946463856,56764.767
"362",0.106090957719146,110166.534
"363",0.10609264603971,57140.424
"364",0.106098656897102,59270.158
"365",0.106098656897102,113934.512
"366",0.106100170975121,59679.235
"367",0.106105721087849,112876.116
"368",0.10610901427909,108630.427
"369",0.106115623795919,109619.704
"370",0.106116614731427,56766.053
"371",0.10611852683884,108630.427
"372",0.106122093362291,59271.318
"373",0.10615080207546,54864.831
"374",0.106185614684366,92018.727
"375",0.106215677731437,112607.597
"376",0.106220579886825,59276.239
"377",0.106227603901485,57147.171
"378",0.10625381251961,58704.913
"379",0.106264053421065,56673.145
"380",0.106264053421065,59687.418
"381",0.106266492559645,57149.113
"382",0.106278215537748,57149.702
"383",0.106281118447224,57149.845
"384",0.106300708759976,31937.325
"385",0.106303307786877,50534.397
"386",0.106303307786877,58707.383
"387",0.106309192792439,110469.101
"388",0.106348585138423,127482.749
"389",0.106365982797217,59085.827
"390",0.106382509055944,113557.048
"391",0.10640017253852,108483.877
"392",0.106403863311469,58979.823
"393",0.106416528232066,91048.225
"394",0.106434021762777,53852.114
"395",0.106443323028555,58481.301
"396",0.106448603154817,58714.648
"397",0.1064733281385,56952.213
"398",0.106482074453534,112927.781
"399",0.106533065679659,56341.86
"400",0.10653644787667,58719.04
"401",0.106552169966907,58481.301
